ID,runtime,title,release_date
20289,120,Rush,693360000
29376,112,The Band Wagon,-517622400
11346,103,Kleinruppin forever,1076198400
49212,88,Black Demons,663033600
61011,0,,0
60739,0,,0
2533,0,,0
56936,0,,0
59795,0,,0
63114,0,,0
45501,0,,0
55503,0,,0
26460,0,,0
2005,100,Sister Act,707011200
22105,79,Danika,1136073600
10809,116,The Debutantes,1054857600
1413,101,M. Butterfly,747532800
35340,0,,0
30496,160,The Tenant of Wildfell Hall,877824000
6620,113,Sabrina,-481593600
19819,108,Blue Chips,761529600
37667,100,Captives,767923200
46029,118,Two Much,824256000
46785,85,The White Balloon,788918400
